customer_Dependents,internet_InternetService_DSL,internet_StreamingTV,internet_InternetService_Fiber optic,customer_tenure,account_PaperlessBilling,customer_SeniorCitizen,account_Contract_Two year,internet_OnlineSecurity,internet_StreamingMovies,internet_DeviceProtection,account_PaymentMethod_Electronic check,account_Contract_One year,account_Contract_Month-to-month,internet_InternetService_0,internet_OnlineBackup,account_Charges_Monthly,account_Charges_Monthly_Average,internet_TechSupport,Churn
1,1,1,0,9,1,0,0,0,0,0,0,1,0,0,1,65.6,65.92222222222222,1,0
0,1,0,0,9,0,0,0,0,1,0,0,0,1,0,0,59.9,60.266666666666666,0,0
0,0,0,1,4,1,0,0,0,0,1,1,0,1,0,0,73.9,70.2125,0,1
0,0,1,1,13,1,1,0,0,1,1,1,0,1,0,1,98.0,95.21923076923076,0,1
0,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,83.9,89.13333333333333,1,1
1,1,1,0,9,1,0,0,0,1,0,0,0,1,0,0,69.4,63.49444444444445,1,0
0,0,1,1,71,1,1,1,1,1,1,0,0,0,0,1,109.7,111.3274647887324,1,0
0,0,0,1,63,1,0,1,1,0,0,0,0,0,0,0,84.65,85.36190476190477,1,0
0,1,0,0,7,1,1,0,1,0,0,1,0,1,0,0,48.2,48.621428571428574,0,0
1,1,1,0,65,1,0,1,1,1,1,0,0,0,0,1,90.45,91.66,1,0
0,1,1,0,54,0,0,1,1,0,0,0,0,0,0,0,45.2,45.56574074074074,1,0
1,0,1,1,72,1,0,1,1,1,1,0,0,0,0,1,116.8,117.45486111111111,1,0
0,0,0,1,5,1,0,0,0,0,0,1,0,1,0,0,68.95,70.3,0,0
0,0,1,1,72,1,0,1,1,0,1,0,0,0,0,1,101.3,100.85069444444444,0,0
0,1,0,0,56,0,0,1,1,0,1,0,0,0,0,1,45.05,45.716071428571425,1,0
1,0,0,1,71,1,0,1,0,1,1,0,0,0,0,1,95.75,96.47042253521126,0,0
1,1,1,0,34,0,0,0,1,1,1,0,1,0,0,0,61.25,58.62352941176471,1,0
0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,72.1,72.1,0,0
0,1,0,0,45,0,1,0,1,1,1,0,1,0,0,0,62.7,62.03333333333333,0,1
0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,25.1,25.1,0,1
0,0,0,0,50,0,1,0,0,0,0,1,1,0,1,0,25.2,26.125999999999998,0,0
0,0,1,1,13,0,0,0,0,0,1,1,0,1,0,1,94.1,93.5076923076923,0,1
1,0,1,1,23,1,0,0,0,0,0,1,0,1,0,0,83.75,80.43260869565218,0,0
0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,19.85,19.066666666666666,0,0
1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,20.35,19.0875,0,1
1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,30.5,30.5,0,1
1,0,1,1,55,1,0,0,0,1,1,0,1,0,0,1,103.7,102.85,1,0
1,0,0,0,54,0,0,1,0,0,0,0,0,0,1,0,20.4,20.196296296296296,0,0
0,0,0,0,26,1,0,0,0,0,0,0,1,0,1,0,19.6,18.148076923076925,0,0
1,0,0,0,69,0,0,1,0,0,0,0,0,0,1,0,19.7,20.244927536231884,0,0
1,0,1,1,37,0,0,0,0,1,0,0,1,0,0,0,91.2,87.77162162162162,0,0
0,0,0,0,49,0,0,0,0,0,0,0,1,0,1,0,20.45,18.385714285714286,0,0
0,0,1,1,66,0,0,0,1,1,1,0,1,0,0,1,115.8,120.33560606060605,1,0
0,0,0,0,67,0,0,0,0,0,0,1,1,0,1,0,20.55,20.050746268656717,0,0
1,1,0,0,20,1,0,1,1,0,1,0,0,0,0,0,39.4,41.269999999999996,1,0
1,0,0,0,43,1,0,1,0,0,0,1,0,0,1,0,25.1,24.887209302325584,0,0
0,0,1,1,55,1,0,0,1,0,0,0,0,1,0,0,89.8,90.17454545454547,0,0
0,0,1,1,59,1,0,0,1,0,0,1,0,1,0,1,94.75,94.87542372881356,0,0
1,0,0,0,12,0,0,1,0,0,0,0,0,0,1,0,20.3,18.708333333333332,0,0
1,0,0,1,27,1,0,0,0,0,0,0,0,1,0,0,75.75,71.44444444444444,0,0
0,1,0,0,2,1,1,0,1,0,0,1,0,1,0,0,49.25,45.55,0,1
0,1,1,0,27,0,0,0,0,1,1,0,1,0,0,1,78.2,76.99814814814815,1,0
1,0,0,0,25,0,0,1,0,0,0,0,0,0,1,0,25.5,25.224,0,0
1,1,0,0,25,1,0,0,1,0,1,0,1,0,0,1,61.6,64.44,0,0
1,1,0,0,29,1,0,0,1,0,1,0,0,1,0,1,45.0,42.84310344827586,1,0
0,1,1,0,72,1,0,1,0,1,1,0,0,0,0,1,85.15,87.725,1,0
0,1,0,0,14,0,0,0,0,0,0,0,1,0,0,1,51.45,51.989285714285714,0,0
0,0,1,1,35,1,0,0,0,1,1,1,1,0,0,0,99.25,100.91428571428571,1,0
0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,44.3,44.3,0,0
0,0,1,1,29,1,0,0,0,1,0,1,0,1,0,0,94.2,89.91724137931034,1,0
0,1,1,0,64,0,0,0,1,0,1,1,1,0,0,1,81.25,86.99296875,1,0
1,0,1,1,39,1,0,0,0,1,0,0,0,1,0,0,99.95,96.60000000000001,1,0
0,0,1,1,40,1,1,0,0,1,0,1,0,1,0,0,91.55,91.84,0,0
0,0,1,1,40,1,0,0,0,1,1,0,0,1,0,1,104.5,100.92125,0,1
0,0,1,1,11,1,1,0,0,1,0,1,0,1,0,1,95.0,101.84545454545454,0,1
0,1,0,0,6,0,0,0,0,0,0,1,0,1,0,0,50.35,52.425000000000004,0,0
0,1,0,0,30,1,0,0,1,1,0,0,0,1,0,0,64.5,62.94833333333334,0,0
0,0,0,0,27,1,0,0,0,0,0,1,0,1,1,0,19.4,19.62222222222222,0,0
0,0,1,1,70,1,1,0,0,1,1,1,1,0,0,1,104.8,104.41357142857143,0,0
0,0,1,1,57,1,0,0,0,1,1,0,1,0,0,1,109.4,109.69649122807017,1,0
0,1,0,0,58,0,0,0,0,0,1,0,1,0,0,0,50.3,49.630172413793105,0,0
0,1,0,0,16,1,0,0,0,1,1,0,0,1,0,1,71.4,75.75625,0,0
0,0,1,1,69,1,0,1,1,1,1,1,0,0,0,1,116.0,118.59202898550726,1,0
0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,19.85,19.85,0,1
1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,99.75,99.75,0,1
1,0,1,1,32,1,1,0,0,1,0,0,0,1,0,1,93.95,89.4203125,0,0
1,0,1,1,16,1,0,0,0,0,1,0,0,1,0,0,90.8,90.1375,0,0
0,1,1,0,49,0,0,0,1,1,1,1,1,0,0,0,84.35,82.84387755102041,1,1
0,1,1,0,71,0,0,1,0,1,1,0,0,0,0,1,58.25,58.39295774647887,1,0
0,0,1,1,33,0,0,0,0,1,1,1,0,1,0,1,107.55,110.46969696969697,0,0
0,0,0,0,10,1,0,0,0,0,0,0,0,1,1,0,19.95,18.775,0,0
0,0,1,1,21,1,0,0,0,1,1,1,0,1,0,1,111.2,110.33809523809524,1,1
1,1,0,0,37,0,0,0,1,0,1,0,0,1,0,1,40.2,39.15675675675676,0,1
0,0,1,1,26,1,1,0,1,0,0,0,0,1,0,0,85.8,84.37115384615385,0,0
0,1,0,0,50,1,0,0,1,0,0,0,1,0,0,0,35.4,34.978,1,0
0,0,0,1,7,1,0,0,0,0,0,1,0,1,0,0,73.85,73.03571428571429,0,1
1,1,1,0,61,0,0,1,1,1,1,0,0,0,0,1,88.1,90.60245901639344,1,0
0,0,1,1,15,1,0,0,0,1,1,1,0,1,0,0,101.35,103.59666666666666,1,1
1,1,0,0,26,0,0,0,1,1,0,0,0,1,0,0,45.8,44.11538461538461,1,0
0,0,1,1,72,1,0,0,0,1,1,1,0,1,0,0,94.65,93.71319444444445,0,0
1,0,0,0,44,1,0,0,0,0,0,0,1,0,1,0,20.5,19.660227272727273,0,0
0,0,0,1,66,0,0,0,0,1,0,0,0,1,0,1,89.4,90.5590909090909,0,0
0,0,0,1,2,1,0,0,1,0,0,1,0,1,0,1,86.25,90.825,1,1
0,1,1,0,44,0,1,0,0,1,1,0,1,0,0,0,74.85,74.27386363636364,1,0
0,0,1,1,12,1,0,0,0,0,0,0,0,1,0,1,89.75,87.7,0,1
0,0,1,1,69,1,1,1,0,1,1,1,0,0,0,1,109.95,110.6413043478261,1,0
0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,80.2,80.2,0,1
